episode,Success,Replay Memory,total numsteps,level
1076,0,93109,93109,0
1077,0,93365,93365,0
1078,0,93386,93386,0
1079,0,93642,93642,0
1080,0,93662,93662,0
1081,1,93692,93692,0
1082,0,93712,93712,0
1083,0,93732,93732,0
1084,0,93754,93754,0
1085,0,93773,93773,0
1086,0,93799,93799,0
1087,1,93814,93814,0
1088,0,94070,94070,0
1089,0,94090,94090,0
1090,0,94112,94112,0
1091,0,94368,94368,0
1092,0,94386,94386,0
1093,1,94392,94392,0
1094,0,94416,94416,0
1095,0,94434,94434,0
1096,0,94457,94457,0
1097,0,94478,94478,0
1098,0,94734,94734,0
1099,0,94757,94757,0
1100,0,95013,95013,0
1101,0,95029,95029,0
1102,1,95038,95038,0
1103,0,95056,95056,0
1104,0,95074,95074,0
1105,0,95097,95097,0
1106,1,95111,95111,0
1107,1,95127,95127,0
1108,0,95148,95148,0
1109,0,95167,95167,0
1110,0,95193,95193,0
1111,0,95246,95246,0
1112,0,95276,95276,0
1113,1,95284,95284,0
1114,0,95306,95306,0
1115,1,95316,95316,0
1116,1,95327,95327,0
1117,0,95583,95583,0
1118,0,95839,95839,0
1119,0,95866,95866,0
1120,0,95899,95899,0
1121,0,95921,95921,0
1122,0,96177,96177,0
1123,0,96212,96212,0
1124,0,96246,96246,0
1125,0,96266,96266,0
1126,0,96286,96286,0
1127,0,96302,96302,0
1128,0,96325,96325,0
1129,1,96334,96334,0
1130,0,96364,96364,0
1131,1,96370,96370,0
1132,0,96391,96391,0
1133,0,96409,96409,0
1134,0,96431,96431,0
1135,0,96469,96469,0
1136,0,96494,96494,0
1137,0,96517,96517,0
1138,0,96684,96684,0
1139,0,96701,96701,0
1140,0,96717,96717,0
1141,1,96732,96732,0
1142,0,96754,96754,0
1143,0,96770,96770,0
